country,continent
AGO,AF
BEN,AF
BFA,AF
CAF,AF
CMR,AF
COD,AF
COG,AF
CPV,AF
DJI,AF
EGY,AF
ERI,AF
ESH,AF
GAB,AF
GIN,AF
GMB,AF
GNB,AF
KEN,AF
LBR,AF
LBY,AF
MAR,AF
MDG,AF
MRT,AF
MUS,AF
NAM,AF
NER,AF
RWA,AF
SDN,AF
SEN,AF
SLE,AF
TGO,AF
TZA,AF
UGA,AF
ZAF,AF
ZMB,AF
BGD,AS
BHR,AS
CHN,AS
IDN,AS
IND,AS
IRN,AS
IRQ,AS
JOR,AS
JPN,AS
KGZ,AS
KHM,AS
KOR,AS
KWT,AS
LBN,AS
LKA,AS
MYS,AS
PAK,AS
PHL,AS
RUS,AS
SAU,AS
SGP,AS
SYR,AS
TJK,AS
TKM,AS
TUR,AS
TWN,AS
UZB,AS
VNM,AS
YEM,AS
AUT,EU
AZE,EU
BEL,EU
CHE,EU
CYP,EU
DEU,EU
DNK,EU
ESP,EU
EST,EU
FIN,EU
FRA,EU
GBR,EU
GRC,EU
HRV,EU
HUN,EU
IRL,EU
ISL,EU
ITA,EU
LTU,EU
POL,EU
SVK,EU
SWE,EU
CAN,NA
CRI,NA
CUB,NA
DOM,NA
GTM,NA
HND,NA
JAM,NA
MEX,NA
NIC,NA
PAN,NA
SLV,NA
TTO,NA
USA,NA
ATA,OC
AUS,OC
FJI,OC
NZL,OC
PNG,OC
ARG,SA
BRA,SA
CHL,SA
COL,SA
ECU,SA
GUF,SA
GUY,SA
URY,SA
VEN,SA
AFG,AS
ALB,EU
ARE,AS
ARM,EU
BDI,AF
BGR,EU
BIH,EU
BLR,EU
BOL,SA
BRN,AS
BTN,AS
BWA,AF
CIV,AF
CZE,EU
DZA,AF
ETH,AF
GEO,EU
GHA,AF
GNQ,AF
ISR,AS
KAZ,AS
KOS,EU
LAO,AS
LSO,AF
LUX,EU
LVA,EU
MDA,EU
MKD,EU
MLI,AF
MMR,AS
MNE,EU
MNG,AS
MOZ,AF
MWI,AF
NGA,AF
NLD,EU
NOR,EU
NPL,AS
OMN,AS
PER,SA
PRK,AS
PRT,EU
PRY,SA
QAT,AS
ROU,EU
SRB,EU
SVN,EU
SWZ,EU
THA,AS
TUN,AF
UKR,EU
ZWE,AF
