"country","01","02","03","04","05","06","07","08","09","10","11","12"
"AFG",446258,421204,514719,566010,654400,680888,717352,691287,619961,568366,484690,460342
"AGO",833620,735847,792886,751682,757655,724268,757240,777688,794881,846226,818082,846219
"ALB",592960,529077,576375,550175,563643,573399,689634,675845,564183,576770,567743,594538
"ARE",5249974,5818266,8561272,10667134,13164216,14137583,15011640,14211012,12133438,10304003,7703325,6039333
"ARG",13368425,11383841,11244883,10916091,11977868,12234262,13060616,12568489,12060182,11660433,11779308,14571536
"ARM",577982,509155,540089,497997,488032,467418,549248,551325,493999,532472,540314,577355
"ATA",678,607,509,498,606,666,697,648,645,596,616,712
"AUS",20780854,19177313,20321147,18833059,20231154,20704324,21844307,20899231,19173493,19281898,19478352,20589594
"AUT",6772117,6246485,6483318,5783351,5705658,5614837,5834269,5677990,5755743,6132229,6273018,6504787
"AZE",2055340,1821968,1953620,1820917,1901771,1927908,2176965,2159606,1932301,1931972,1939366,2054586
"BDI",39915,34307,35216,31527,30324,28267,29763,31528,33565,37711,38217,40540
"BEL",8309015,7561607,7901505,7141117,7005532,6909441,6847140,6879131,7003460,7459220,7464215,7644941
"BEN",118077,106209,116799,113371,116627,112066,115560,114849,112459,117536,114001,118380
"BFA",131473,124202,138296,130310,139764,141769,148567,144174,137305,140692,135859,132010
"BGD",3696853,3545057,4371689,4794813,5463753,5616933,5893154,5675225,5089717,4702710,4012658,3794663
"BGR",3791234,3333748,3365264,2869834,3365144,2582611,2877957,2828689,2682129,2943873,3052002,3511536
"BHR",1114174,1188363,1843576,2376048,2947540,3185346,3550449,3349212,2737708,2317321,1675674,1240453
"BIH",1219521,1089565,1139743,1030069,993803,976432,1063920,1043809,1002959,1084866,1125091,1261753
"BLR",3316246,2928788,3110978,2871539,2814393,2626587,2700046,2744853,2788621,3047676,3086346,3302751
"BOL",664850,604310,677554,671070,702895,683630,706559,695189,665302,678753,644744,663982
"BRA",54742414,48445676,52895076,48485487,47192901,44690846,46355386,47393611,47648862,50657251,48918442,50777065
"BRN",274883,261763,322415,344767,382893,389626,405394,397160,359170,332994,287735,278191
"BTN",216662,192518,206460,192878,191212,179967,185290,187240,188218,203004,203155,215851
"BWA",447205,376946,377328,322043,287599,259534,276784,305128,348984,411089,426950,457027
"CAF",12063,11338,13693,14875,16857,17298,18135,17438,15818,14861,12875,12369
"CAN",61442626,56882782,54996821,45830850,43203059,42013854,45283323,44923622,42708107,45426038,47939000,53112218
"CHE",6256078,5660685,5795506,5017897,5026720,4881587,4995490,4931660,5020674,5383066,5561767,5666186
"CHL",6298012,5714557,6296303,5555451,6056723,6142363,6352366,6202246,5805448,6029907,6025243,6297700
"CHN",448615167,431022620,422743683,405150870,413947402,477591690,498288916,517434175,500358690,446545545,496736640,515881819
"CIV",650642,585086,643680,626465,643822,618964,640015,635547,622237,649774,627683,652299
"CMR",678896,611447,670800,649571,668181,644094,668055,663579,647585,673757,651057,679805
"COD",788204,683540,710668,646991,629747,590000,617456,641235,667376,739637,748460,795558
"COG",131053,123946,138172,130170,139593,141561,148349,144057,137185,140551,135671,131583
"COL",5255227,4925769,5645106,5183067,5470444,5278286,5447178,5587920,5529254,5613329,5401922,5535056
"CPV",25654,24207,29737,32785,37155,39192,49373,46854,35428,32604,27540,26233
"CRI",884123,806898,890471,858123,864202,827146,858903,854137,825475,856111,831537,870242
"CUB",1343687,1252402,1487240,1595045,1793269,1829831,1930359,1877121,1717423,1636455,1433379,1377741
"CYP",370317,331985,316878,285200,315888,345710,454638,496998,444033,352202,301200,358126
"CZE",6530013,6053770,6268669,5611394,5412525,5232405,5289293,5217360,5256300,5934922,6015865,6019379
"DEU",52426552,48717116,51159463,46331804,45399831,45511251,47590906,45834166,46839579,49278372,49875846,48792041
"DJI",21101,21225,28667,34484,42203,45402,48132,45555,39112,33391,25833,22338
"DNK",3171095,2842552,2958839,2668455,2610639,2843461,2491025,2632259,2639398,2851038,2925211,3074573
"DOM",1460533,1325186,1466111,1426542,1447299,1410837,1635518,1610487,1411458,1449990,1393931,1450661
"DZA",3842188,3719800,4771463,5585682,6723957,7139445,7548053,7181267,6281851,5469274,4281909,3952816
"ECU",2122351,1908099,2104011,2052189,2118057,2044853,2124665,2107635,2049890,2127060,2042106,2121788
"EGY",12199551,11273923,13221583,14423780,16222666,16632115,18630623,17915230,15380217,14385194,12401688,12322045
"ERI",26041,23804,27069,27382,29359,28951,29609,28942,27870,28051,26064,26300
"ESH",7880,7468,8329,7843,8388,8519,8912,8664,8208,8423,8137,7886
"ESP",24716381,22923318,23058048,20510599,21560934,22116627,25506224,22651473,21256793,21408261,21713461,22718043
"EST",919498,810170,836695,759800,716640,636451,638681,660127,716038,815522,821246,853155
"ETH",842067,770934,824956,805101,815391,775326,823846,867866,819925,863010,881008,897828
"FIN",8358280,7263566,7567244,6685841,6206275,5782655,5884500,5956138,6068237,7056016,7218690,7660906
"FJI",83881,72899,75891,68538,65939,61689,64347,67069,70090,77927,79435,84678
"FRA",53610294,49627209,46343844,37669872,34582276,33993397,35367333,31978832,34249691,39762849,41941396,45627054
"GAB",203807,183771,203036,197716,203659,195162,201737,200065,195153,203093,195870,203717
"GBR",34822182,31887414,32342489,27478920,26658719,25362496,25979407,25734689,26579067,29502014,30380357,30398525
"GEO",953074,901624,888809,819379,731636,732246,854080,923380,829405,837584,953164,1093111
"GHA",989640,917686,981664,925623,926474,847717,832844,825333,833868,904688,907039,956306
"GIN",45490,42063,48897,50567,54690,54384,56632,55264,51726,50946,46455,46114
"GMB",23291,21188,24297,24927,27009,27014,28341,27817,26217,26027,23878,23731
"GNB",20135,19187,23421,25582,29018,29500,30775,29598,26802,25185,21766,20661
"GNQ",39001,35319,39060,38009,38844,36764,37719,37450,36656,38323,37177,38842
"GRC",5567268,5005342,5209896,4391765,4453585,4589347,5810751,5403649,4721030,4389273,4487308,5321478
"GTM",860028,774293,854449,832715,852247,818071,850729,845276,823043,857320,827912,860575
"GUF",24979,22612,25475,24971,25621,24631,25120,26154,26825,27717,26414,26947
"GUY",68128,61315,67726,65857,67706,65278,67794,67483,66158,69357,66256,68299
"HND",697609,634606,718366,723690,763871,745121,775541,765997,729441,736615,690369,701933
"HRV",1602261,1479666,1521046,1360245,1333065,1323565,1623174,1545267,1383545,1376824,1421504,1572893
"HUN",3781182,3454614,3656353,3348618,3340073,3384140,3627983,3480189,3450898,3629883,3638998,3638746
"IDN",18669845,16861805,18831480,18436318,19103679,18445448,19137080,19209951,18810623,19470651,18521834,18805507
"IND",108219405,96039729,111560301,108929492,118887866,109420929,113876822,112880480,113489443,110331775,107530813,115449607
"IRL",2605506,2373977,2495507,2246330,2274682,2124682,2176595,2167716,2196818,2336479,2439059,2524304
"IRN",18895892,17404924,17613473,19372466,24157662,27735959,29682873,29513687,24852560,21532215,17947505,19018748
"IRQ",3978484,3899936,5150751,6447428,7981819,8554499,9114170,8690742,7522790,6412975,4732263,4184475
"ISL",1585162,1459294,1584708,1492473,1540604,1444110,1471032,1448939,1428591,1510468,1513309,1558087
"ISR",4698042,4211967,4147684,3829569,4543620,5085689,6039702,6259562,5279892,4629688,4089663,4443244
"ITA",26793996,25569706,26925905,24326875,25190523,26616739,32333576,25388774,26808004,26062405,26050464,26184333
"JAM",320511,286800,314653,308969,319197,316981,390476,380068,314670,323765,309398,321591
"JOR",1255662,1166046,1383810,1522848,1743948,1825314,2137559,2054359,1687214,1556581,1320070,1283167
"JPN",77848920,66294851,80031709,88121385,95631626,86567663,76476751,78702708,83046535,91830657,87864458,81371195
"KAZ",9566532,8443527,8932586,8191789,8049392,7793558,8056669,8139969,8000303,8696925,8854626,9510698
"KEN",789367,706967,767542,738820,783360,764649,795855,790520,791670,822484,814762,810772
"KGZ",1259615,1099610,1151325,1050249,1012454,935065,962340,984349,1021505,1139244,1168940,1261137
"KHM",467824,425783,475057,469933,490935,479598,498853,491989,472777,482454,456221,467264
"KOR",49444961,42441910,46147120,41830710,41035014,41902407,45633402,46007977,41014527,41976610,42926270,48118618
"KOS",618965,549825,572724,483381,425380,408926,444933,435021,421840,499154,529205,610702
"KWT",2978960,2988736,4289775,5782976,7103995,7552437,7991886,7633496,6608090,5713727,3882734,3141954
"LAO",491443,448482,502666,494013,513012,502731,544338,536413,497206,506527,480086,491792
"LBN",1378894,1247066,1395561,1398931,1542227,1585890,1881693,1830859,1542704,1500697,1359483,1388500
"LBR",25909,23242,25607,24948,25694,24707,25526,25361,24780,25866,25015,26013
"LBY",2232920,2116462,2635932,3052854,3630373,3811349,4015816,3872601,3438250,3022944,2452820,2301268
"LKA",1050627,992068,1154943,1096394,1080825,979612,1031992,1087098,1015597,1112401,1031445,1055213
"LSO",74384,68138,77172,77148,81364,79509,82047,80239,76038,76670,72241,74113
"LTU",1087429,962714,996093,944572,933121,892426,915025,933705,938038,1031326,1038332,1078080
"LUX",725704,683885,718841,655450,648457,630926,678675,594064,665547,701032,691099,652227
"LVA",683324,608325,633532,582597,556196,512816,542677,558888,556365,615981,619747,650478
"MAR",2718615,2419943,2722425,2816675,2970658,2992441,3273041,3372151,3033893,3023867,2710692,2872681
"MDA",550666,486107,516449,475175,467338,438511,455239,461454,462855,505008,514335,549273
"MDG",150980,133882,145224,138602,139984,133826,139522,141884,142526,151161,147200,152712
"MEX",22043189,20939037,23955912,23974884,26358554,27246672,27669602,28185971,25809665,25633807,22532284,22378471
"MKD",831597,711132,773605,646516,569948,529542,577581,567207,545045,626372,666581,780979
"MLI",190133,184577,235613,270245,318077,333112,351698,335768,297219,268678,220048,199337
"MMR",1290234,1165858,1308462,1282614,1311319,1257993,1297010,1289216,1256315,1303138,1253554,1296256
"MNE",335354,298298,300846,258490,238104,254872,322023,316357,250586,244383,260060,311283
"MNG",626164,551952,582953,533501,518940,488418,505057,509617,515034,567907,579585,623001
"MOZ",1625745,1385616,1464404,1343140,1287059,1125684,1171532,1352808,1496930,1646974,1619685,1659632
"MRT",61047,60618,80106,94787,114060,121167,128250,121938,106578,93764,74145,64928
"MUS",275359,241396,253360,231973,225611,210021,217843,223732,230154,253302,256424,274828
"MWI",130234,113737,120550,112362,111252,105094,110257,114263,117974,128391,127118,132781
"MYS",11909836,10702992,12171293,11902983,12464555,11888324,12528208,12550483,11741381,12606557,11954300,12259492
"NAM",395262,336256,341047,297471,279422,257796,272956,291925,318359,367073,377607,403105
"NER",78373,75353,95356,108003,125745,130902,137872,131895,117541,107329,89023,81672
"NGA",2402439,2211645,2529945,2539339,2696257,2653767,2747812,2696607,2556449,2568050,2395843,2416601
"NIC",331276,304529,354360,369655,398068,392577,409815,401553,375142,368870,336689,335422
"NLD",10598910,9408165,9829762,8941720,9073181,9019236,9391463,9145707,9257788,9745071,9893029,10249147
"NOR",13261947,11811148,11978495,10155197,9652629,8683862,8195769,8379737,8844602,10359884,11483222,12600766
"NPL",304461,295446,376198,427374,499997,521640,548954,524661,462326,418073,345898,316506
"NZL",3421960,3135253,3437582,3294541,3575053,3651685,3909981,3883901,3618734,3501349,3410573,3393312
"OMN",1597855,1620583,2049266,2621972,3236630,3392547,3601706,3403227,3135385,2802730,2264700,1705627
"PAK",6462156,5844759,7174184,7926088,10735561,11510597,11694445,12403848,10902963,8576733,6959246,6819827
"PAN",781494,697196,810437,809008,828809,812671,849557,848354,821227,833065,758589,860942
"PER",3753175,3469692,3901755,3730428,3871694,3745113,3805757,3847223,3774023,3970115,3911663,4157378
"PHL",6489152,5903538,6659010,6636076,6851114,6596422,6834517,6755945,6527808,6706021,6369799,6520809
"PNG",359445,323548,357820,349884,361200,349963,362531,359158,349735,362100,348280,361116
"POL",14319993,13028623,13838503,12732309,12625773,12256317,12982791,12833043,12771882,13806434,13638786,13903570
"PRK",1271781,1108943,1159906,1056784,1017205,939277,966373,989880,1029067,1149374,1182006,1275070
"PRT",5057095,4539159,4476802,4002646,4226589,4254812,4593558,4189382,4170869,4241881,4275207,4496787
"PRY",1502208,1254720,1230857,1020674,892393,786982,833073,956596,1095943,1323731,1410973,1529032
"QAT",1825263,1920776,2911998,3515711,4190353,4418374,4674629,4459591,3906013,3460690,2727205,2119297
"ROU",5359390,4967439,5143140,4568591,4441309,4420837,4733787,4581278,4513359,4792197,4721967,5122536
"RUS",98003495,88170642,91570775,82979217,76597797,72585907,75128675,75850598,76521380,88538715,91872372,97138505
"RWA",48618,43674,48211,47111,48660,47020,48780,48361,47106,48903,46987,48771
"SAU",19430261,17935703,22045063,24672970,30451296,32757550,37020054,35350578,33730548,27827584,22291205,21615760
