"country","Bio","Coa","Cog","Csp","Gas","Geo","Hyd","Nuc","Oil","Oth","Pet","Sto","Was","Wav","Wof","imports"
"AFG",0,0,0,0,268,0,330.45,0,0,0,0,0,0,0,0,1e+08
"AGO",0,0,0,0,419.6213507,0,920.4,0,350.7986493,0,0,0,0,0,0,1e+08
"ALB",0,0,0,0,0,0,1798,0,0,98,0,0,0,0,0,1e+08
"ARE",0,0,0,200,30497.0000001,0,0,0,0,0,0,0,0,0,0,1e+08
"ARG",660,6498.5376402,0,0,17443.3794493,0,10001,1764,1599.553911,1326,0,0,0,0,0,1e+08
"ARM",0,0,0,0,2390,0,1299,375,0,0,0,0,0,0,0,1e+08
"ATA",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1e+08
"AUS",626.5945106,30099,0,9,20457,0,8525,0,2289.94410541,0,0,0,188,0,0,1e+08
"AUT",2238,1171,0,0,4500.9999999,0,9073,0,178,0,0,0,0,0,0,1e+08
"AZE",40,0,0,0,3129.4551148,0,1082,0,3141.5448852,0,0,0,0,0,0,1e+08
"BDI",0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1e+08
"BEL",916.5999999,470,0,0,6147.2,0,1394,5924,185,0,0,0,224,0,1425.2,1e+08
"BEN",0,0,0,0,139.07024793,0,0,0,20,0,0,0,0,0,0,1e+08
"BFA",0,0,0,0,0,0,30,0,266.594,0,0,0,0,0,0,1e+08
"BGD",0,250,0,0,8768,0,230,0,2560,0,0,0,0,0,0,1e+08
"BGR",50,5647,0,0,0,0,2206,2000,0,0,0,0,0,0,0,1e+08
"BHR",0,0,0,0,7572,0,0,0,7,0,0,0,0,0,0,1e+08
"BIH",0,1779,0,0,0,0,2206,0,0,0,0,0,0,0,0,1e+08
"BLR",39,0,0,0,9999,0,36,0,0,0,0,0,0,0,0,1e+08
"BOL",150,0,0,0,1698.58,0,496.9,0,0,0,0,0,0,0,0,1e+08
"BRA",13693.46669349,5105.5015521,0,0,20194.51973213,0,98049,1990,14968.1541161,147,0,0,108,0,0,1e+08
"BRN",0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,1e+08
"BTN",0,0,0,0,0,0,1613.8,0,0,0,0,0,0,0,0,1e+08
"BWA",0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+08
"CAF",0,0,0,0,0,0,19,0,14,0,0,0,0,0,0,1e+08
"CAN",2746,9780,0,0,19843.16317471,0,80699,14254,7351.0000006,17,0,0,0,20,0,1e+08
"CHE",450.9999999,260,0,0,280,0,12969.1999997,3431,90,0,0,0,0,0,0,1e+08
"CHL",466.1,4835,0,0,4950.892311,0,6499,0,3352.175122,0,63,0,0,0,0,1e+08
"CHN",10886.65597317,1006514.1819632,0,140,66800.70738672,26,307239.10827342,33402,9000.0000004,0,0,0,0,0,1597,1e+08
"CIV",0,0,0,0,1220,0,599,0,0,0,0,0,0,0,0,1e+08
"CMR",0,0,0,0,650.0119342,0,720.8,0,167.6080659,0,0,0,0,0,0,1e+08
"COD",0,0,0,0,25,0,3019,0,13,0,0,0,0,0,0,1e+08
"COG",0,0,0,0,336,0,219,0,71,0,0,0,0,0,0,1e+08
"COL",240,1681.9017632,0,0,3151.0579346,0,11500.0000001,0,188,0,0,0,0,0,0,1e+08
"CPV",0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1e+08
"CRI",40,0,0,0,0,217.05,1940,0,655.55,0,0,0,0,0,0,1e+08
"CUB",530.0000001,0,0,0,662.0433609,0,60,0,5423.3566394,0,0,0,0,0,0,1e+08
"CYP",0,0,0,0,867,0,0,0,1478.0000001,0,0,0,0,0,0,1e+08
"CZE",796,10149.9999998,0,0,2100,0,1828,4172,0,0,0,0,0,0,0,1e+08
"DEU",8400.9,47782,0,2,31744.7499993,26,9984,11168,4532.7999998,758,0,0,1598,403,6869.6,1e+08
"DJI",0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,1e+08
"DNK",1407,4848,0,0,2941,14,0,0,663,0,0,0,0,0,2487.3,1e+08
"DOM",15,627.0600272,0,0,655.8431105,0,601.91,0,1731.0968621,0,0,0,0,0,0,1e+08
"DZA",0,0,0,25,18263,0,275,0,0,0,0,0,0,0,0,1e+08
"ECU",140,0,0,0,1712.5435124,0,3256,0,1693.2964875,0,0,0,0,0,0,1e+08
"EGY",0,0,0,20,34004.6679518,0,2850,0,1169.3320477,0,0,0,0,0,0,1e+08
"ERI",0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,1e+08
"ESH",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1e+08
"ESP",796.946,10467.69,0,4315,30432.8560003,0,15665,7122,4667,0,0,0,388,90,0,1e+08
"EST",386,0,0,0,423,0,0,0,1842,0,0,0,0,0,0,1e+08
"ETH",0,0,0,0,0,7,3812,0,0,0,0,0,0,0,0,1e+08
"FIN",2183,4478.0000002,0,0,1927,0,3257.6799999,2753,1704.2000001,283,0,0,0,0,26.3,1e+08
"FJI",69.7,0,0,0,0,0,209,0,74,0,0,0,0,0,0,1e+08
"FRA",1695.4,4812,0,0,6123.9999999,5,19502,63135,6668,0,0,0,0,1374,0,1e+08
"GAB",0,0,0,0,306.9072632,0,330,0,16,0,0,0,0,0,0,1e+08
"GBR",3413.1999996,16712.9999995,3006,0,30288.7,0,4123,8922,566.6,0,0,0,1745,39,10739.5,1e+08
"GEO",0,0,0,0,1550,0,2729.6,0,0,0,0,0,0,0,0,1e+08
"GHA",0,0,0,0,1251,0,1598,0,0,0,0,0,0,0,0,1e+08
"GIN",0,0,0,0,0,0,418,0,369.9,0,0,0,0,0,0,1e+08
"GMB",0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,1e+08
"GNB",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1e+08
"GNQ",0,0,0,0,184.5,0,150,0,0,0,0,0,0,0,0,1e+08
"GRC",70,4997,0,0,5208,0,3502,0,718,0,0,0,24,0,0,1e+08
"GTM",881,642.32628226,0,0,0,54,1042.4,0,1238.0737177,0,0,0,6,0,0,1e+08
"GUF",2,0,0,0,92,0,114,0,40,0,0,0,0,0,0,1e+08
"GUY",30,0,0,0,0,0,0,0,379.7,0,0,0,0,0,0,1e+08
"HND",157.55,0,0,0,39,39,630.83,0,1086.4633003,0,0,0,2,0,0,1e+08
"HRV",80,330,0,0,743.2,0,1916.3,0,950,0,0,0,0,0,0,1e+08
