"month","country","generation"
1,"AFG",168.8
1,"AGO",383.6
1,"ALB",213.7
1,"ARG",1602.9
1,"ARM",47.3
1,"AUS",967.8
1,"AUT",3748.4
1,"AZE",90.2
1,"BDI",199.1
1,"BEL",9.3
1,"BFA",66.1
1,"BGD",5.2
1,"BGR",301.4
1,"BIH",343.2
1,"BLR",37.7
1,"BOL",736.9
1,"BRA",31213.4
1,"BTN",387.3
1,"CAF",80
1,"CAN",23821.6
1,"CHE",4845.7
1,"CHL",3473.3
1,"CHN",35223.2
1,"CHN-AN",14.7
1,"CHN-BE",6.9
1,"CHN-CH",12.2
1,"CHN-FU",72.9
1,"CHN-GA",54.1
1,"CHN-GD",54.1
1,"CHN-GU",61.9
1,"CHN-GX",15.9
1,"CHN-HA",54.1
1,"CHN-HB",25.4
1,"CHN-HE",2.2
1,"CHN-HJ",10.9
1,"CHN-HN",6.9
1,"CHN-HU",9.5
1,"CHN-JI",6.4
1,"CHN-JS",7.3
1,"CHN-JX",49.5
1,"CHN-LI",11.5
1,"CHN-NI",72.8
1,"CHN-QI",18
1,"CHN-SC",54.1
1,"CHN-SD",6.7
1,"CHN-SI",5.6
1,"CHN-SX",5.5
1,"CHN-TI",25.4
1,"CHN-WM",57.7
1,"CHN-XI",31.7
1,"CHN-YU",12.2
1,"CHN-ZH",50.9
1,"CIV",68.9
1,"CMR",280
1,"COD",782.9
1,"COG",260.4
1,"COL",609.4
1,"CRI",851.7
1,"CUB",18.9
1,"CZE",59.7
1,"DEU",1422.3
1,"DOM",103.4
1,"DZA",12
1,"ECU",493.9
1,"EGY",219.7
1,"ESP",1883.2
1,"ETH",634.1
1,"FIN",5689.1
1,"FJI",90.4
1,"FRA",9897.7
1,"GAB",62
1,"GBR",917.6
1,"GEO",727.8
1,"GHA",104.7
1,"GIN",212.9
1,"GNQ",33.5
1,"GRC",325.2
1,"GTM",1511.8
1,"GUF",80
1,"HND",652.7
1,"HRV",683.4
1,"HUN",73.8
1,"IDN",720.2
1,"IND",6326.5
1,"IND-EA",48.6
1,"IND-NE",42.7
1,"IND-NO",39.5
1,"IND-SO",18.5
1,"IND-WE",57.1
1,"IRL",54.7
1,"IRN",261
1,"IRQ",71.4
1,"ISL",1121.5
1,"ITA",1467
1,"JAM",157
1,"JOR",23.2
1,"JPN",1884.5
1,"KAZ",180.9
1,"KEN",550.9
1,"KGZ",219.5
1,"KHM",134.4
1,"KOR",251.2
1,"KOS",37.9
1,"LAO",758.9
1,"LBN",23.1
1,"LBR",2.7
1,"LKA",880.7
1,"LSO",80
1,"LTU",31.1
1,"LUX",0
1,"LVA",40.3
1,"MAR",168.2
1,"MDA",76.8
1,"MDG",363
1,"MEX",1668.9
1,"MKD",351.4
1,"MLI",95.5
1,"MMR",443.7
1,"MNE",50.1
1,"MOZ",200
1,"MRT",4.3
1,"MUS",66.4
1,"MWI",143.8
1,"MYS",302.1
1,"NAM",54.5
1,"NGA",143.6
1,"NIC",71.6
1,"NLD",3.9
1,"NOR",14129.9
1,"NPL",596.1
1,"NZL",1330.3
1,"PAK",393.7
1,"PAN",464.6
1,"PER",817.7
1,"PHL",313.5
1,"PNG",236
1,"POL",7.8
1,"PRK",367.3
1,"PRT",1916.2
1,"PRY",280.7
1,"ROU",329.5
1,"RUS",3476
1,"RUS-CE",59.8
1,"RUS-FE",36.2
1,"RUS-MV",44.5
1,"RUS-NW",8.2
1,"RUS-SI",47.8
1,"RUS-SO",59.9
1,"RUS-UR",59.9
1,"RWA",195.9
1,"SDN",272.5
1,"SEN",14.5
1,"SLE",6.2
1,"SLV",166.3
1,"SRB",160.6
1,"SVK",264.1
1,"SVN",123.7
1,"SWE",7708.5
1,"SWZ",199.1
1,"SYR",10.3
1,"TGO",16.1
1,"THA",127.9
1,"TJK",464.6
1,"TUN",79.2
1,"TUR",645.5
1,"TWN",147.1
1,"TZA",217.5
1,"UGA",318.9
1,"UKR",42
1,"URY",272.1
1,"USA",39436.4
1,"UZB",486.1
1,"VEN",534.6
1,"VNM",6708.7
1,"ZAF",57.9
1,"ZMB",455.1
1,"ZWE",123.4
2,"AFG",175.6
2,"AGO",392.6
2,"ALB",222.2
2,"ARG",1767
2,"ARM",51.3
2,"AUS",1019.7
2,"AUT",3988.5
2,"AZE",95.2
2,"BDI",204
2,"BEL",9.2
2,"BFA",66.7
2,"BGD",8
2,"BGR",305.4
2,"BIH",372.3
2,"BLR",33.2
2,"BOL",749
2,"BRA",32327.7
2,"BTN",392.6
2,"CAF",75.8
2,"CAN",24124.5
2,"CHE",5024.4
2,"CHL",3489.8
2,"CHN",37279.2
2,"CHN-AN",19.1
2,"CHN-BE",6.9
2,"CHN-CH",15.8
2,"CHN-FU",67.8
2,"CHN-GA",54.1
2,"CHN-GD",54.1
2,"CHN-GU",63.6
2,"CHN-GX",21.3
2,"CHN-HA",54.1
2,"CHN-HB",27.5
2,"CHN-HE",6
2,"CHN-HJ",14.4
2,"CHN-HN",11.3
2,"CHN-HU",10.7
2,"CHN-JI",8
2,"CHN-JS",7.4
2,"CHN-JX",54.1
2,"CHN-LI",15.8
2,"CHN-NI",72.8
2,"CHN-QI",14.7
2,"CHN-SC",54.1
2,"CHN-SD",6.7
2,"CHN-SI",5.9
2,"CHN-SX",12.2
2,"CHN-TI",31.5
2,"CHN-WM",61
2,"CHN-XI",31.7
2,"CHN-YU",11.1
2,"CHN-ZH",54.1
2,"CIV",73.9
2,"CMR",281.5
2,"COD",801
2,"COG",261.7
2,"COL",632.5
2,"CRI",917.5
2,"CUB",18.9
2,"CZE",61.6
2,"DEU",1522.2
2,"DOM",97.3
2,"DZA",12.8
2,"ECU",520.3
2,"EGY",213.5
2,"ESP",1973.4
2,"ETH",640.8
2,"FIN",5905.6
2,"FJI",104.2
2,"FRA",10768.7
2,"GAB",71.9
2,"GBR",975
2,"GEO",814.4
2,"GHA",106.3
2,"GIN",213.2
2,"GNQ",36.8
2,"GRC",333.7
2,"GTM",1548.1
2,"GUF",80
2,"HND",685.1
2,"HRV",705.4
2,"HUN",67.8
2,"IDN",803.7
2,"IND",6738.5
2,"IND-EA",48.7
2,"IND-NE",42.7
2,"IND-NO",43.1
2,"IND-SO",18.5
2,"IND-WE",57.1
2,"IRL",58.7
2,"IRN",262.2
2,"IRQ",75.7
2,"ISL",1098.5
2,"ITA",1572.6
2,"JAM",165.5
2,"JOR",17.1
2,"JPN",1887.1
2,"KAZ",198.5
2,"KEN",560.6
2,"KGZ",231
2,"KHM",140.7
2,"KOR",261.6
2,"KOS",40.1
2,"LAO",758.6
2,"LBN",23.1
2,"LBR",2.7
2,"LKA",923.6
2,"LSO",75.8
2,"LTU",31.1
2,"LUX",0
2,"LVA",44.3
2,"MAR",179.4
2,"MDA",79.7
2,"MDG",354.9
2,"MEX",1735.6
2,"MKD",375.1
2,"MLI",97.6
2,"MMR",483
2,"MNE",58
2,"MOZ",202.3
2,"MRT",4.4
2,"MUS",69
2,"MWI",158.6
2,"MYS",322.8
2,"NAM",56.1
2,"NGA",148.7
2,"NIC",75.9
2,"NLD",6.8
2,"NOR",14603.9
2,"NPL",629.9
2,"NZL",1345.7
2,"PAK",439
2,"PAN",473.2
2,"PER",852.1
2,"PHL",344.8
2,"PNG",248.8
2,"POL",8.3
2,"PRK",395.8
2,"PRT",2039.7
2,"PRY",284.1
2,"ROU",350.4
2,"RUS",3667.5
2,"RUS-CE",59.8
2,"RUS-FE",47.7
2,"RUS-MV",44.5
2,"RUS-NW",12
2,"RUS-SI",51.6
2,"RUS-SO",55.6
2,"RUS-UR",55.6
2,"RWA",186
2,"SDN",275.6
2,"SEN",16.8
2,"SLE",7.1
2,"SLV",175.6
2,"SRB",159.3
2,"SVK",286.7
2,"SVN",128.2
2,"SWE",8101.6
2,"SWZ",199.6
2,"SYR",10.4
2,"TGO",16.1
2,"THA",143.4
2,"TJK",481
2,"TUN",104.2
2,"TUR",662.8
2,"TWN",181.2
2,"TZA",227.9
2,"UGA",322.1
2,"UKR",43.9
2,"URY",283.4
2,"USA",41541.7
2,"UZB",510
2,"VEN",536.4
2,"VNM",6903.7
