"country","Bio","Coa","Cog","Csp","Gas","Geo","Hyd","imports","Nuc","Oil","Oth","Pet","Sto","Was","Wav","Wof"
"AFG",1.5,2.6,2,0,9.2,0,0,1000,2,8.07,0,3,0,0,0,0
"AGO",1.5,2.5,1,0,6.8,0,0,1000,2,1,0,3,0,0,0,0
"ALB",1.5,2.3,2,0,6.7,0,0,1000,2,6.28,0,3,0,0,0,0
"ARE",1.5,2.6,2,0,9.2,0,0,1000,2,8.07,0,3,0,0,0,0
"ARG",1.5,2.3,2,0,6.8,0,0,1000,2,1,0,3,0,0,0,0
"ARM",1.5,2.3,2,0,6.7,0,0,1000,2,6.28,0,3,0,0,0,0
"ATA",1.5,2.5,2,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"AUS",1.5,2.5,2,0,6.8,0,0,1000,2,6.01,0,3,0,0,0,0
"AUT",1.5,2.3,2,0,6.7,0,0,1000,2,6.18,0,3,0,0,0,0
"AZE",1.5,2.3,2,0,6.7,0,0,1000,2,8.07,0,3,0,0,0,0
"BDI",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"BEL",1.5,2.3,2,0,6.7,0,0,1000,2,5.78,0,3,0,0,0,0
"BEN",1.5,2.5,1,0,6.8,0,0,1000,2,1,0,3,0,0,0,0
"BFA",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"BGD",1.5,2.6,2,0,9.2,0,0,1000,2,8.38,0,3,0,0,0,0
"BGR",1.5,2.3,2,0,6.7,0,0,1000,2,6.28,0,3,0,0,0,0
"BHR",1.5,2.6,2,0,9.2,0,0,1000,2,7.6,0,3,0,0,0,0
"BIH",1.5,2.3,2,0,6.7,0,0,1000,2,6.28,0,3,0,0,0,0
"BLR",1.5,2.3,2,0,6.7,0,0,1000,2,6.28,0,3,0,0,0,0
"BOL",1.5,2.3,2,0,6.8,0,0,1000,2,6.49,0,3,0,0,0,0
"BRA",1.5,2.3,2,0,6.8,0,0,1000,2,6.34,0,3,0,0,0,0
"BRN",1.5,2.6,2,0,9.2,0,0,1000,2,8.07,0,3,0,0,0,0
"BTN",1.5,2.6,2,0,9.2,0,0,1000,2,8.07,0,3,0,0,0,0
"BWA",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"CAF",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"CAN",1.5,2.1,2,0,2.5,0,0,1000,2,2.21,0,3,0,0,0,0
"CHE",1.5,2.3,2,0,6.7,0,0,1000,2,6.31,0,3,0,0,0,0
"CHL",1.5,2.3,2,0,6.8,0,0,1000,2,6.49,0,3,0,0,0,0
"CHN",1.5,2.6,2,0,9.2,0,0,1000,2,7.8,0,3,0,0,0,0
"CIV",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"CMR",1.5,2.5,1,0,6.8,0,0,1000,2,3.31,0,3,0,0,0,0
"COD",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"COG",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"COL",1.5,2.3,2,0,6.8,0,0,1000,2,6.63,0,3,0,0,0,0
"CPV",1.5,2.5,1,0,6.8,0,0,1000,2,10,0,3,0,0,0,0
"CRI",1.5,2.1,2,0,2.5,0,0,1000,2,10,0,3,0,0,0,0
"CUB",1.5,2.1,2,0,2.5,0,0,1000,2,2.13,0,3,0,0,0,0
"CYP",1.5,2.3,2,0,6.7,0,0,1000,2,1.85,0,3,0,0,0,0
"CZE",1.5,2.3,2,0,6.7,0,0,1000,2,6.28,0,3,0,0,0,0
