,1,2,3,4,5,6,7,8,9,10,11,12
AFG,168.8,175.6,204,214.4,231.9,226.1,213.1,178.9,180.4,252.8,214.6,183
AGO,383.6,392.6,369.9,362.1,414.9,399.3,380.4,367.2,358.4,421.9,430,395
ALB,213.7,222.2,257,284.7,346.9,313.6,301.9,295,293.1,297,277.5,227.7
ARE,0,0,0,0,0,0,0,0,0,0,0,0
ARG,1602.9,1767,2058.4,2094.5,2452.3,2663.5,2496.9,2422.2,2472.8,2198.6,1842,1607.2
ARM,47.3,51.3,61.2,90.5,98.9,132.4,117,112.9,109.7,107.7,72.3,46.2
ATA,0,0,0,0,0,0,0,0,0,0,0,0
AUS,967.8,1019.7,1114.8,1196.1,1230.8,1280.4,1159.9,1095,1168.6,1142.4,1051.1,1013
AUT,3748.4,3988.5,4253.4,4207.4,4236.4,4465,4053.8,3825.3,4146,4239.2,4098.2,3878.3
AZE,90.2,95.2,115.9,106.4,116.2,139.4,146.4,148.2,149.3,150.8,116.2,95.8
BDI,199.1,204,210.6,211.7,209.8,221.7,220.7,220,220.4,201.8,202.5,200
BEL,9.3,9.2,10.1,10.6,13.2,13.7,13.2,12.8,12.5,11.6,10,8.9
BEN,0,0,0,0,0,0,0,0,0,0,0,0
BFA,66.1,66.7,75.3,73.1,82.7,71.5,70.2,62.7,71.7,75.9,75.9,65.6
BGD,5.2,8,20.3,30.4,39.8,46.4,47.7,47.7,47.7,31.5,8.1,5.2
BGR,301.4,305.4,333.1,309.8,240.7,205.3,154.7,151.2,165.2,223,284.8,298.3
BHR,0,0,0,0,0,0,0,0,0,0,0,0
BIH,343.2,372.3,425.7,468.8,505.7,501.8,453.8,476.1,475.3,447.3,392.6,362.2
BLR,37.7,33.2,38.6,41.4,41.4,28.7,27.8,27.5,28.8,33.7,41.4,41.4
BOL,736.9,749,797.1,856.6,891.7,982.3,957,902.6,913.8,864.6,812.1,785.1
BRA,31213.4,32327.7,33588.5,32582.9,32587.3,34900.9,32561.9,30848.7,33262.8,34977.2,33613,32393
BRN,0,0,0,0,0,0,0,0,0,0,0,0
BTN,387.3,392.6,387.9,370.4,348.2,356.5,338.7,338.6,343.2,372.9,376.4,395.7
BWA,0,0,0,0,0,0,0,0,0,0,0,0
CAF,80,75.8,69.5,66.8,63,60.3,60,62.8,62,67,67.3,76.3
CAN,23821.6,24124.5,28268.5,32796.9,32695.4,29326.7,26863.5,25778.9,27812.3,31615.5,31453.3,25234.4
CHE,4845.7,5024.4,5580.7,5661.4,6089.1,6561.8,6037.7,5739.7,6131.1,6293.6,5776.6,5181.7
CHL,3473.3,3489.8,3876.6,3968.1,4337.7,4471,4270.4,4010.6,4274.5,4247.8,3995.4,3697.3
CHN,35223.2,37279.2,41901.9,43410.9,44701.8,45238.9,41760.7,39542.2,41238.7,42055.5,40465.2,36901.4
CIV,68.9,73.9,98.6,120.6,158.9,171.6,143.4,147.3,175.2,164.3,122.7,81.1
CMR,280,281.5,288.6,286.1,299,291.1,278.8,273.3,282.3,279,292.8,283.3
COD,782.9,801,805.6,677.6,575.3,422.3,325,311.7,320.5,428.1,688.7,803.3
COG,260.4,261.7,268.4,243.7,214.1,182.4,169.2,163.4,181.4,202.3,238.8,262.3
COL,609.4,632.5,698.7,693.5,673.1,707.5,588.9,543.7,607.9,648.9,676.8,600.7
CPV,0,0,0,0,0,0,0,0,0,0,0,0
CRI,851.7,917.5,1144.9,1138,1179,1079.6,928.2,877.8,892.8,879.7,844,811.3
CUB,18.9,18.9,18.9,7,3.9,2.3,2.1,1.9,2.3,4.3,15.2,18.9
CYP,0,0,0,0,0,0,0,0,0,0,0,0
CZE,59.7,61.6,66.4,60,66.8,56.2,51.2,48.4,51.5,46.7,64.7,65.5
DEU,1422.3,1522.2,1881.3,1875.8,1930.2,1811.9,1576.8,1551.1,1741.4,1815,1861.7,1647.2
DJI,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,0,0,0,0,0,0,0,0,0
DOM,103.4,97.3,70.9,78.2,109,77.5,67.3,76.5,99.7,109,127.2,120.5
DZA,12,12.8,11.3,9.3,7.4,6.8,6.3,6.4,5.6,8,10.2,12
ECU,493.9,520.3,628.6,660.7,629.5,490,422.6,384.2,386.9,508.1,599.5,574.5
EGY,219.7,213.5,252.6,254.1,244.1,204.1,176.4,185.4,198,248,280.7,234.2
