,1,2,3,4,5,6,7,8,9,10,11,12
AFG,12947.1,11748.6,14165.5,15449,15753.2,15952.4,15833.8,16834.8,16650.3,15208.3,12799.6,12858.3
AGO,11015.5,10100.7,11420.2,11974.4,13144.2,12710.6,12778.5,13070.4,12671.2,12316.9,10887.4,9774
ALB,7331.8,7788.5,9523.8,11488.5,12360.6,11546.5,12707.2,11531.8,10705,8602.8,8176.9,9324
ARE,64154.5,62773.5,62656.6,69750.2,67256,63194.6,63122.9,65780.7,63968.2,64642.3,59867.8,59909.2
ARG,44707.7,40914,40279.7,41500.3,39081.2,37462.1,38214.9,38114.3,45632.9,47319.6,45162.9,45963.3
ARM,11457.8,10578.9,12163.3,12760.5,12726,13795.4,14520.2,13886.4,12621.5,9609.6,11114,11076.7
ATA,21385.9,18573,17037.8,4329,0,0,0,507.2,13237.4,20318,21009.1,21895.7
AUS,101193.5,92114,98473.3,77610,72230.7,63362.5,67445.3,81474.8,95712.8,100607.3,98571.7,101173.6
AUT,4311.4,6857.7,7253.1,8834.3,10795,10620.1,11506.6,10903.5,9995.5,8878.4,5806.1,4241.9
AZE,8743.7,8786.8,10405.3,12493.1,12627.8,13140.2,13287,12800.5,11579,7131.8,8571,8681.7
BDI,10661.6,9434.5,11352.5,10170,11814.4,11114.9,12549.6,12732.8,11275.7,9871.7,9249.3,9802
BEL,2794.1,7491.3,8091,8018,12585.6,12823.4,11639.3,10771.8,9492.2,6969.5,4139.3,2697
BEN,11499,9534.1,9822.9,9578.5,9360.8,9021.8,9136.4,8525.1,9084.9,10246.6,10853.3,10958.1
BFA,15402.9,14405.8,15004.2,14176.5,13663.5,12595.8,12478.8,10513.5,11035.6,13605.5,15056.9,14555.9
BGD,12583.2,11727.2,14635.9,12104.4,11975.6,10235.1,9286.2,9999.8,9492.2,12111,12247.7,10622.7
BGR,7703.7,8655.1,10350.2,13042.7,13061.3,12917.9,14882.2,13847.8,11630.7,9707.3,9554.6,9079.5
BHR,12050.4,11171.6,12212.2,12924.2,12824.5,12779.6,12556.6,12903,12293.6,11696.8,10179.9,10001.3
BIH,5950.9,7015,10151.4,11319.5,11564.2,11756,13038.3,11744.7,9619.2,7504.6,7968.3,8224.3
BLR,1362.7,3045.7,4913.5,6024.4,6835,7906.3,7392.1,7800.4,5098.5,4843.8,1298.5,1162
BOL,6989.9,6512.2,7403.6,6374.7,7110.5,7264,7439.1,7963.8,7708.4,7908.5,7488.1,7097.2
BRA,46586.3,39384.6,42619.5,44654.8,41948.9,42189.6,40204.4,50337.1,47596.5,49786.3,43351.4,43153.2
BRN,7706.7,9983.4,11364.5,9690.4,9000.4,7756.2,8661.4,9381.8,8823.4,8973.5,6816.2,8639.8
BTN,13581.6,11916.1,13736.5,11601.2,11905.4,10562.8,9325.4,8609.5,9405.8,11833.7,11100.9,12064.1
BWA,13685.4,12754,12810.2,12435,13416.4,12491,12632.9,13343.4,13244.2,14451.1,13728,13012.4
CAF,12879.3,10432.1,10015.2,10920.6,9604.6,9378.6,9489.6,9384,9422.2,9411.3,11621.3,12317.5
CAN,948148.3,1137293.7,1648468.1,1685532.5,1763157.3,1684581.8,1856321.5,1712246.1,1559682.2,1281349.7,983281.4,553922.8
CHE,3231.7,5226.2,6365.8,5755.7,8470.5,9028.7,9998.2,8967.1,7788,7152.6,4718.4,3562.1
CHL,355210.6,319647.7,322628.2,306311.9,276803.4,258543.5,250979.3,268450.9,317958.4,341625.4,346921.1,356419.6
CHN,1029766.4,1039186.6,1229938.6,1189825.3,1207052.1,1092508.3,1150802.2,1150717.1,1051586.5,1104081.6,882186.8,985027.2
CIV,7051.7,5727.6,6390.4,5498.3,5796.2,5944,6538.9,6457.8,6601.7,6714.2,6985.4,6770.9
CMR,14149.8,10771.2,10766.5,11221.4,10688.1,10633.6,10758.7,10679.8,10872.2,10788.3,12389.6,14115.1
COD,10798.1,8391.7,9378.9,9478.7,9976.4,10154,10355.7,10595,10077.6,9126.5,8736.2,10043.2
COG,10222.4,8171.8,8857.2,9213.3,9261.3,9353.1,9896.6,9975.8,9323.1,9328.6,8520.3,10364.9
COL,10749.4,9545,10181.9,8683.3,8411.2,8662.1,9140.1,8932.5,8911.8,8762.4,8603,10178.4
CPV,7220.3,8100.3,10083.9,9686.8,9877.5,8998.1,9272.6,8281.3,8012.7,7295.3,7079.7,7730.5
CRI,14936.5,13926.8,16005,13490.1,10432.5,8625.7,9521.3,11042.3,9206.9,9554.2,9537.2,13284.5
CUB,11676.7,11956.9,13556.1,12934.2,11365.5,8500.1,10165.6,10457.5,8978.4,10060.5,8618.1,9575.3
CYP,10270.2,10393.7,14992.2,16273.8,16094.7,16311.9,16553.4,16467.3,14947.1,11676.1,11696.9,11042.5
CZE,1598835.5,3193635.4,4450576.7,4941601.7,5059825,5028599.2,5569018.2,5018292.6,4530311.2,3056687.1,2321336.9,1594111.6
DEU,1224962,2746377.6,3708649.4,4532527.6,4733107.7,4494594.4,4997211.3,4545598.7,3948844,2714154,1650609.3,1273165.8
DJI,13016.1,12793.7,13919.8,13355.2,10613.8,10502.6,11782.8,11713.3,10736.1,13040.1,11920.9,12633.2
DNK,4259.7,7928.8,17773.4,28225.4,29596.9,31225.5,32262.9,29557.9,25052.8,15732.5,6620.3,3405.1
DOM,26567.2,25740.8,30806.2,29359,25428.8,21685.2,22607.2,23792.4,21219.8,20202.6,18003.6,20510.2
DZA,12559.1,12123,14575.3,13693.8,13866.2,12837.2,13104,12626.4,11505.6,11405.5,11981.2,12036.3
ECU,11654.4,9459.7,10669.3,11309.2,11219.2,11532.5,12225.5,13308.3,13180.1,12760.5,11664,12583.6
EGY,12986,12446.8,14566.9,15626.9,15260.3,14534.2,15162.2,14797,13758.7,13495.6,12513.9,12854.5
ERI,13080.5,12882.9,13968.8,13255.2,12311.5,11129.7,11587.5,9477.9,10599.3,12326.1,12326.4,12085.2
ESH,11713.9,12013,14257.9,13391.2,13925.7,12946,12762.3,12552.8,11991.3,11667.1,10834.2,10628
ESP,394365.8,384224.8,507011.2,459729.8,544854.8,519025.8,544720.6,522577.5,481600.8,376368.5,415193.4,287909.6
EST,1320,5180.8,6654.2,10123.8,13435.3,15630,13134.1,10740.4,7027.1,4807.2,1376.8,1346.6
ETH,16575.7,15374.9,17202.2,15001.9,14399.5,14193.3,14717.9,15017,15258.3,15654,14886.4,15388.8
FIN,623.1,3361.4,4244.2,6708.6,10105.3,11867.3,10176.3,6820.9,5182.3,2909.1,808.6,518.5
FJI,11144.9,8272.3,10845.4,11336.5,10558.9,9186.2,10443.5,10910.3,11684.1,12607.2,12876.4,11701.8
FRA,3954633.2,4743215.5,6040470.7,7519653.9,7663747.3,7585708.3,7951499,7414164.4,7047756.1,5588210.6,4712130.6,3866312
GAB,9970.2,7668.4,8594.4,8494.6,8464.7,9408.2,9816.2,10031.6,9552.9,9352.5,8542.5,9868.9
GBR,2812124,4303659.2,7760459.9,10625239.6,10476519.5,11396318.3,11037930.8,9261238.3,9933894.1,6358237.7,2502785.8,1786948.5
GEO,8359.1,9044.6,10604,11146.1,12074.4,12422.3,13682,12878.3,12046.4,8463.2,8507.9,7733.9
GHA,11073.2,9213.5,9714.9,8854,9054.2,9231.1,9609.4,9224.5,9380.4,10014.7,11006.3,10575.8
GIN,14938,13779.5,15172.1,13201,11630.9,11149.5,11247.9,11365.3,11532.7,12577.6,14053.5,13476.7
GMB,10156.2,11315.8,12839,12407.6,11609.9,10545.1,9061.2,8337.1,7669,8350.8,9195.2,9997.8
GNB,10590,11360.9,12617.7,12051.1,10440.2,8668.9,7256.8,7928.8,7466.8,7570.5,9220.4,9580.3
GNQ,10245.5,7490.5,7861.4,7687.6,7728.3,8397.5,9427.5,8652.8,8668.7,8490.9,7810,10159.5
GRC,222798.1,244438.7,272130.7,371276.9,382452.2,354607.8,398940.1,360163.5,326346,272012.9,275342,263250.6
GTM,49611.6,47578.2,51518.9,46779.3,43864.6,35968.4,39471.7,41950,32497.3,39699,38993.8,48876.8
