country,1,2,3,4,5,6,7,8,9,10,11,12
AFG,9231.5,10926.3,8808.5,7552.6,8867.9,12371.4,12490,9787.4,5955.6,5320.8,7255,6848.6
AGO,5674.7,4892.7,5146.8,5004.6,11049.8,10457.9,10244.4,13824.4,9841.5,7001.9,6196.1,3957
ALB,13387.3,12761.6,12630.9,8804.4,6747.1,5870.1,5126.3,4477.9,6694.4,10476.7,8255.8,6208.3
ARE,9167.6,15478.2,14669.1,13275.2,11781.8,16464.8,10715.1,9466.1,8038.6,6829.8,10198.4,11502.1
ARG,311430.5,244172.4,297369.1,270099.1,316357.2,361008.1,338656.1,309715.2,288841,277214.5,251640.2,344208.3
ARM,9931.9,7426.7,5926.3,12755.4,5703.4,6078.4,6584.1,5261.5,2110.9,4472.5,10591.1,7733.6
ATA,13673.6,32336.8,18286.9,31889.9,37812,51355.3,56393,61564.4,48126.3,54243.1,49060.7,19556.5
AUS,1477049.3,1097229.4,1273021.1,1159571.3,1671355.3,1103484.6,1602660.7,1411765.9,1180542.5,1263654.2,1277033.4,1309578.9
AUT,108160.7,88578,100237.7,104468.1,85679.9,58569.7,55719.6,54913.8,96149.6,65176.4,101251.9,52948.7
AZE,10007.2,9237.4,8222.5,10877.6,5895.5,10105,10881.9,10733.5,7214.7,9038.1,10727.4,10507.1
BDI,1504.1,1707.2,5234.8,3071.4,5787.2,4637.5,7799.3,8277.7,5696.2,4789.3,3205.8,1822.7
BEL,371815.6,265025.7,309435.3,222820.5,266221.7,235141.6,262980.5,213582.5,264640.2,214988,403102.2,438820.3
BEN,17749.8,8748,9804.1,8105.7,10203.4,8531.4,7040,5848.3,4243.1,3628.5,7098.8,22340.5
BFA,23689,14884.4,17538,13013.1,12552.4,10750.9,7455.6,4633.8,2874.5,4792.7,11346.5,26439.8
BGD,5264.9,4095.6,10382.4,9382.8,10663.4,14958.1,13362.7,11335.3,5517.1,2135.9,975.6,2056.2
BGR,43555.4,49371.6,41246,43404,23399,27131,16713,32355.8,30759.6,36808.2,36125.8,34446.6
BHR,16099.7,20532.3,16608.8,23248.4,18613.2,24865.5,17247.5,6552.9,7392.5,12082.2,15638.7,16811.6
BIH,16596.8,11456.5,17607.9,15157.4,11518.1,9418.4,6196.5,6640.2,11047.2,12060.1,10342.1,6080.8
BLR,29244.3,14331.4,23573.8,23887.1,16351.9,12021,17167.2,12025.7,15678.8,16695.1,18604,27490.4
BOL,6448.7,6806.9,5552.3,5212.9,7926.2,8380.2,13271.5,14564,12717.8,12593.5,11899.2,10488.4
BRA,9377314.3,6948039.4,6363776,5588407.7,8876565.4,9770379.3,11349814.5,13503561.8,11855805.6,13045769.1,9966801.5,10063886.1
BRN,3763.8,4322.4,3129.3,1684,733.2,1105.7,2674.3,2543.7,1443,1491,1255.4,3028.1
BTN,1446.2,1422.6,2706.9,3987.5,5518.6,6650.7,3405.4,5497.2,2482.4,1639.4,1109.3,1433.8
BWA,13260.6,11322.6,14332.4,10040.6,10865.8,15490.9,18154.5,19414.5,21404.1,21328.3,19824.7,11722.9
CAF,13214.5,7516.2,8999.4,8761.7,5560.8,4338,2517.4,1530.7,1471.3,1736.6,4191.7,14052.3
CAN,6272697.3,4908263.4,5833142.5,5070682.8,4311194.4,3528984.5,2993000.2,3383277.2,3988131.9,5657356,5513412.9,5374372.8
CHE,37795.2,10468.7,19595.7,20038.4,6798.9,6736.2,8040.8,8506.1,9275.3,14141.8,17139.6,24739
CHL,324872,274400,332849.1,280919.8,358753.6,476440.6,375328.6,455993.5,421817,396306.3,362949.4,355103.3
CHN,10736393.1,10191001.6,12815162.1,12617965.6,12813142.1,8590545.4,6307321.7,6044913.9,7649154.8,11682219.5,8585902.3,10634054.9
CIV,8148.3,6356.5,7288.3,5657.9,6226.1,7507.4,7552.8,8939,5658.3,4143.4,4021.5,10410.1
CMR,9259.9,6907.2,6645.8,5831,3515.3,3894.6,3776.6,2778,2549.4,2894.5,4694.4,9285.6
COD,4864,2521.7,3559.6,3690.4,5481.4,5436.3,6918.3,8378.1,6085.5,3331.9,2798.8,2603.9
COG,2562.2,2003.7,1904,1737.2,1242.8,1263.5,2245.9,2230.3,1962.4,1362.8,1464.9,2157.7
COL,52842.7,44934,55034.9,28677.7,21825,26633.1,24222.9,18936.1,13868.7,13353.2,21913.5,35105.1
CPV,43232.1,32574.8,35401,35825.8,25098.8,25664.7,8368.9,9328.8,12060.4,11478,27227.4,23455.9
CRI,60203.9,44724.9,49332.8,38044.1,33992.1,28451.2,35703,28074.9,10700.3,5193.4,16449.9,35292.4
CUB,33404.4,29278.6,41430.9,30191.2,34693.4,25606.2,28185.4,25288,13163,20990,36998.8,35934.7
CYP,17866.3,17525.6,17227.2,12476,9203.7,10833.7,8531,9500.9,5927.8,5463.4,13913.1,11802.2
CZE,37341.2,15420.5,21122.3,12691,9088.9,11203.7,9413.5,10004.1,11545.8,17576.8,17071.6,31312.3
DEU,523841.9,388642.4,458185.5,362043.1,415300.3,329677,393702.8,298855.4,372880.9,344860.8,513526.9,581997.4
DJI,18458.5,18829.9,24662.2,12910.7,6679.1,12044.3,18765.6,13313.6,5250.2,16421.9,14840.6,18492.3
DNK,625422.3,522401.8,549407.8,476750.7,540903.1,437929.9,492813.5,422171.1,484575.5,479511.1,593106.4,722123.2
DOM,52038,46072.7,69975.6,53630.6,62918.2,70004.9,72736.3,52611.2,30204.4,29286.8,50870.4,88279.3
DZA,17503.2,15423.7,18371.5,15406.7,17013.4,16697.9,15474,14552.6,12240.2,12607.6,14651.7,18289.2
ECU,4432.7,3310.8,2916.4,4035.3,4108.4,7768.7,6300.2,6749.9,6098.3,4758.2,3673.3,4906.7
EGY,27764.6,25774.2,33333.3,34655,30863.2,34295,33804.4,39054.8,33561,30751.6,28263.2,32960.4
ERI,15200.3,14591.3,18697.9,12836.9,7843.4,10620.2,15835.7,9945.7,4311.6,10355,11541.2,11736.9
ESH,32174.9,25120.9,30082.8,19875.8,27807.1,27466.8,29501,27677.9,17903.1,14547.6,26699.1,29777.5
ESP,8045167.2,9454211,7279146.2,5794172.8,6871847.7,4393143.2,4647447.5,4777418.6,4898414.8,6067861.5,5950369.7,5634164.1
EST,384110.9,297109.4,328124.5,285183.1,239944.3,260496.7,236174.7,167041.2,211493.4,208782.7,304146.8,414028.2
ETH,26807.9,29019.6,38833.8,39957,21992.4,14298.8,15284.6,14151.8,7915.8,37761.2,34304.4,28078.1
FIN,325328.4,353467.3,338958.6,277580.3,275775.1,262948.5,174232.2,170690.8,222818,255845.9,279296.3,357695.2
FJI,18618.7,12988,40831.5,52742.4,50584,57479.6,54704.2,54599,32631,53081.6,44868.2,29645.6
FRA,16093152.3,13150502.7,13793615.2,10619908.7,11964635.9,9518527.6,10847093.3,8780996.5,11873097.1,10279754.7,16709272.6,16414420
GAB,2710.3,2905.9,2488.2,2077,1701,2917,3454.5,3107.1,2706.9,2703.5,2483.2,2575.6
