x1,iso,fuel,period
0.0,AFG,Bio,1
0.0,AGO,Bio,1
0.0,ALB,Bio,1
0.0,ARE,Bio,1
481800.0,ARG,Bio,1
0.0,ARM,Bio,1
0.0,ATA,Bio,1
457413.99273800006,AUS,Bio,1
1.63374e6,AUT,Bio,1
29200.0,AZE,Bio,1
0.0,BDI,Bio,1
669117.9999269999,BEL,Bio,1
0.0,BEN,Bio,1
0.0,BFA,Bio,1
0.0,BGD,Bio,1
36500.0,BGR,Bio,1
0.0,BHR,Bio,1
0.0,BIH,Bio,1
28470.0,BLR,Bio,1
109500.0,BOL,Bio,1
9.996230686247699e6,BRA,Bio,1
0.0,BRN,Bio,1
0.0,BTN,Bio,1
0.0,BWA,Bio,1
0.0,CAF,Bio,1
2.00458e6,CAN,Bio,1
329229.99992699997,CHE,Bio,1
340253.00000000006,CHL,Bio,1
7.9472588604141e6,CHN,Bio,1
0.0,CIV,Bio,1
0.0,CMR,Bio,1
0.0,COD,Bio,1
0.0,COG,Bio,1
175200.0,COL,Bio,1
0.0,CPV,Bio,1
29200.0,CRI,Bio,1
386900.00007300003,CUB,Bio,1
0.0,CYP,Bio,1
581080.0,CZE,Bio,1
6.132656999999999e6,DEU,Bio,1
0.0,DJI,Bio,1
1.02711e6,DNK,Bio,1
10950.0,DOM,Bio,1
0.0,DZA,Bio,1
102200.0,ECU,Bio,1
0.0,EGY,Bio,1
0.0,ERI,Bio,1
0.0,ESH,Bio,1
581770.5800000001,ESP,Bio,1
281780.0,EST,Bio,1
0.0,ETH,Bio,1
1.59359e6,FIN,Bio,1
50881.00000000001,FJI,Bio,1
1.2376420000000002e6,FRA,Bio,1
0.0,GAB,Bio,1
2.491635999708e6,GBR,Bio,1
0.0,GEO,Bio,1
0.0,GHA,Bio,1
0.0,GIN,Bio,1
0.0,GMB,Bio,1
0.0,GNB,Bio,1
0.0,GNQ,Bio,1
51100.0,GRC,Bio,1
643130.0,GTM,Bio,1
1460.0,GUF,Bio,1
21900.0,GUY,Bio,1
115011.5,HND,Bio,1
58400.0,HRV,Bio,1
401499.99992699997,HUN,Bio,1
1.2701999997810002e6,IDN,Bio,1
4.0907302004380003e6,IND,Bio,1
100010.0,IRL,Bio,1
8030.0,IRN,Bio,1
0.0,IRQ,Bio,1
0.0,ISL,Bio,1
15330.0,ISR,Bio,1
2.7813e6,ITA,Bio,1
21900.0,JAM,Bio,1
0.0,JOR,Bio,1
2.0525858780494e6,JPN,Bio,1
0.0,KAZ,Bio,1
65700.0,KEN,Bio,1
0.0,KGZ,Bio,1
1460.0,KHM,Bio,1
626252.4,KOR,Bio,1
0.0,KOS,Bio,1
0.0,KWT,Bio,1
21900.0,LAO,Bio,1
0.0,LBN,Bio,1
0.0,LBR,Bio,1
0.0,LBY,Bio,1
15330.0,LKA,Bio,1
0.0,LSO,Bio,1
55480.0,LTU,Bio,1
24090.0,LUX,Bio,1
91980.0,LVA,Bio,1
0.0,MAR,Bio,1
0.0,MDA,Bio,1
0.0,MDG,Bio,1
552318.0000000001,MEX,Bio,1
0.0,MKD,Bio,1
0.0,MLI,Bio,1
0.0,MMR,Bio,1
0.0,MNE,Bio,1
0.0,MNG,Bio,1
0.0,MOZ,Bio,1
0.0,MRT,Bio,1
201589.5,MUS,Bio,1
7300.0,MWI,Bio,1
759199.9998539999,MYS,Bio,1
0.0,NAM,Bio,1
0.0,NER,Bio,1
0.0,NGA,Bio,1
10365.999999999998,NIC,Bio,1
866509.9998539999,NLD,Bio,1
133590.0,NOR,Bio,1
0.0,NPL,Bio,1
89790.0,NZL,Bio,1
0.0,OMN,Bio,1
226300.0,PAK,Bio,1
0.0,PAN,Bio,1
131400.0,PER,Bio,1
138480.99999999997,PHL,Bio,1
0.0,PNG,Bio,1
711750.0,POL,Bio,1
0.0,PRK,Bio,1
358503.00000000006,PRT,Bio,1
29200.0,PRY,Bio,1
29200.0,QAT,Bio,1
87600.0,ROU,Bio,1
1.022e6,RUS,Bio,1
0.0,RWA,Bio,1
0.0,SAU,Bio,1
139430.0,SDN,Bio,1
18250.0,SEN,Bio,1
0.0,SGP,Bio,1
0.0,SLE,Bio,1
147460.0,SLV,Bio,1
0.0,SRB,Bio,1
188340.0,SVK,Bio,1
47450.0,SVN,Bio,1
3.82249900073e6,SWE,Bio,1
